Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-12-07T21:21:25.890;540170501501244620;747;-811;339
2021-12-07T21:21:25.909;540170501520767794;693;-795;26
2021-12-07T21:21:25.929;540170501540290968;714;-808;7
2021-12-07T21:21:25.948;540170501559814142;662;-707;19
2021-12-07T21:21:25.968;540170501579337316;619;-741;17
2021-12-07T21:21:25.987;540170501598860490;555;-712;-72
2021-12-07T21:21:26.007;540170501618383664;532;-750;-38
2021-12-07T21:21:26.026;540170501637906838;625;-680;161
2021-12-07T21:21:26.046;540170501657430012;677;-762;-164
2021-12-07T21:21:26.065;540170501676953186;529;-969;-24
2021-12-07T21:21:26.085;540170501696476360;206;-1257;-215
2021-12-07T21:21:26.104;540170501715999534;320;-1192;-315
2021-12-07T21:21:26.124;540170501735522708;601;-1064;-92
2021-12-07T21:21:26.143;540170501755045882;716;-985;254
2021-12-07T21:21:26.163;540170501774569056;726;-891;118
2021-12-07T21:21:26.182;540170501794085526;708;-886;-234
2021-12-07T21:21:26.202;540170501813601964;471;-946;-28
2021-12-07T21:21:26.222;540170501833118402;551;-956;-162
2021-12-07T21:21:26.241;540170501852634840;705;-819;163
2021-12-07T21:21:26.261;540170501872151278;809;-842;79
2021-12-07T21:21:26.280;540170501891667716;654;-691;-92
2021-12-07T21:21:26.300;540170501911184154;737;-687;-111
2021-12-07T21:21:26.319;540170501930700592;749;-604;-19
2021-12-07T21:21:26.339;540170501950217030;842;-585;19
2021-12-07T21:21:26.358;540170501969733468;742;-642;70
2021-12-07T21:21:26.378;540170501989249906;784;-643;107
2021-12-07T21:21:26.397;540170502008766344;804;-619;119
2021-12-07T21:21:26.417;540170502028282782;673;-832;69
2021-12-07T21:21:26.436;540170502047799220;442;-1157;-92
2021-12-07T21:21:26.456;540170502067315658;664;-1030;-160
2021-12-07T21:21:26.475;540170502086832096;827;-938;11
2021-12-07T21:21:26.495;540170502106348534;713;-995;87
2021-12-07T21:21:26.514;540170502125864972;583;-1104;129
2021-12-07T21:21:26.534;540170502145381410;589;-969;-74
2021-12-07T21:21:26.553;540170502164897848;750;-967;-225
2021-12-07T21:21:26.573;540170502184414286;712;-814;-70
2021-12-07T21:21:26.592;540170502203930724;767;-765;108
2021-12-07T21:21:26.612;540170502223447162;768;-737;32
2021-12-07T21:21:26.631;540170502242963600;786;-685;87
2021-12-07T21:21:26.651;540170502262480038;828;-711;-47
2021-12-07T21:21:26.670;540170502281996476;776;-704;69
2021-12-07T21:21:26.690;540170502301512914;749;-687;118
2021-12-07T21:21:26.709;540170502321029352;812;-680;-26
2021-12-07T21:21:26.729;540170502340545790;712;-620;50
2021-12-07T21:21:26.748;540170502360062228;851;-652;-74
2021-12-07T21:21:26.768;540170502379578666;648;-887;11
2021-12-07T21:21:26.787;540170502399095104;522;-1194;-138
2021-12-07T21:21:26.807;540170502418611542;565;-1026;1
2021-12-07T21:21:26.827;540170502438127980;874;-735;93
2021-12-07T21:21:26.846;540170502457644418;829;-687;144
2021-12-07T21:21:26.866;540170502477160856;704;-755;-85
2021-12-07T21:21:26.885;540170502496678573;677;-871;-50
2021-12-07T21:21:26.905;540170502516196286;753;-894;39
2021-12-07T21:21:26.924;540170502535713999;781;-856;215
2021-12-07T21:21:26.944;540170502555231712;714;-830;214
2021-12-07T21:21:26.963;540170502574749425;765;-804;97
2021-12-07T21:21:26.983;540170502594267138;757;-742;76
2021-12-07T21:21:27.002;540170502613784851;887;-622;57
2021-12-07T21:21:27.022;540170502633302564;861;-536;69
2021-12-07T21:21:27.041;540170502652820277;832;-578;104
2021-12-07T21:21:27.061;540170502672337990;821;-624;92
2021-12-07T21:21:27.080;540170502691855703;885;-524;141
2021-12-07T21:21:27.100;540170502711373416;839;-594;80
2021-12-07T21:21:27.119;540170502730891129;719;-858;43
2021-12-07T21:21:27.139;540170502750408842;577;-996;6
2021-12-07T21:21:27.158;540170502769926555;707;-862;23
2021-12-07T21:21:27.178;540170502789444268;722;-793;199
2021-12-07T21:21:27.197;540170502808961981;705;-962;-120
2021-12-07T21:21:27.217;540170502828479694;660;-939;148
2021-12-07T21:21:27.236;540170502847997407;613;-1022;-50
2021-12-07T21:21:27.256;540170502867515120;685;-923;157
2021-12-07T21:21:27.275;540170502887032833;665;-834;136
2021-12-07T21:21:27.295;540170502906550546;816;-675;84
2021-12-07T21:21:27.314;540170502926068259;734;-665;63
2021-12-07T21:21:27.334;540170502945585972;829;-638;3
2021-12-07T21:21:27.353;540170502965103685;706;-693;-64
2021-12-07T21:21:27.373;540170502984621398;823;-752;68
2021-12-07T21:21:27.393;540170503004139111;851;-599;117
2021-12-07T21:21:27.412;540170503023656824;843;-563;99
2021-12-07T21:21:27.432;540170503043174537;844;-482;-52
2021-12-07T21:21:27.451;540170503062692250;860;-568;-27
2021-12-07T21:21:27.471;540170503082209963;915;-753;0
