Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-12-07T21:29:08.016;540170963697281200;241;-936;620
2021-12-07T21:29:08.036;540170963716796000;-179;-901;723
2021-12-07T21:29:08.055;540170963736310084;40;-659;972
2021-12-07T21:29:08.075;540170963755824156;420;-375;1010
2021-12-07T21:29:08.094;540170963775338228;238;-108;1378
2021-12-07T21:29:08.114;540170963794852300;354;466;1883
2021-12-07T21:29:08.133;540170963814366372;661;1423;3141
2021-12-07T21:29:08.153;540170963833880444;217;1567;2493
2021-12-07T21:29:08.172;540170963853394516;-1488;1674;2830
2021-12-07T21:29:08.192;540170963872908588;-3376;749;4878
2021-12-07T21:29:08.211;540170963892422660;-4609;-1124;7820
2021-12-07T21:29:08.231;540170963911936732;-4372;-4700;7984
2021-12-07T21:29:08.250;540170963931450804;-3438;-7701;6232
2021-12-07T21:29:08.270;540170963950964876;-2096;-7862;3216
2021-12-07T21:29:08.289;540170963970478948;-401;-7997;-1215
2021-12-07T21:29:08.309;540170963989993020;215;-7997;-7356
2021-12-07T21:29:08.329;540170964009507092;-491;-7512;-8000
2021-12-07T21:29:08.348;540170964029021164;-738;-5382;-8000
2021-12-07T21:29:08.368;540170964048535236;7;-3761;-7661
2021-12-07T21:29:08.387;540170964068049308;830;-3216;-5157
2021-12-07T21:29:08.407;540170964087563380;1356;-2760;-3236
2021-12-07T21:29:08.426;540170964107077452;1605;-2224;-1750
2021-12-07T21:29:08.446;540170964126591524;1368;-1898;-527
2021-12-07T21:29:08.465;540170964146105596;1031;-1759;639
2021-12-07T21:29:08.485;540170964165619668;500;-1549;1137
2021-12-07T21:29:08.504;540170964185133740;-62;-1374;1177
2021-12-07T21:29:08.524;540170964204647812;-264;-1134;1470
2021-12-07T21:29:08.543;540170964224161884;-320;-1092;1571
2021-12-07T21:29:08.563;540170964243675956;-240;-1197;1716
2021-12-07T21:29:08.582;540170964263190028;-107;-1131;1930
2021-12-07T21:29:08.602;540170964282704100;-178;-1200;1865
2021-12-07T21:29:08.621;540170964302218172;-25;-1094;1791
2021-12-07T21:29:08.641;540170964321732244;337;-1197;1207
2021-12-07T21:29:08.660;540170964341246316;561;-846;518
2021-12-07T21:29:08.680;540170964360760388;805;-1127;337
2021-12-07T21:29:08.699;540170964380274460;769;-1220;988
2021-12-07T21:29:08.719;540170964399788532;459;-1363;801
2021-12-07T21:29:08.738;540170964419302604;3612;-614;379
2021-12-07T21:29:08.758;540170964438814511;137;-1529;963
2021-12-07T21:29:08.777;540170964458326398;648;-704;870
2021-12-07T21:29:08.797;540170964477838285;349;-553;862
2021-12-07T21:29:08.816;540170964497350172;-133;-526;1246
2021-12-07T21:29:08.836;540170964516862059;-571;-669;1163
2021-12-07T21:29:08.855;540170964536373946;-746;-896;1109
2021-12-07T21:29:08.875;540170964555885833;-760;-1103;1130
2021-12-07T21:29:08.894;540170964575397720;-637;-1074;1233
2021-12-07T21:29:08.914;540170964594909607;-484;-1041;1234
2021-12-07T21:29:08.933;540170964614421494;-411;-1038;1020
2021-12-07T21:29:08.953;540170964633933381;-334;-1039;782
2021-12-07T21:29:08.972;540170964653445268;-295;-1042;593
2021-12-07T21:29:08.992;540170964672957155;-152;-1073;512
2021-12-07T21:29:09.011;540170964692469042;-159;-1225;499
2021-12-07T21:29:09.031;540170964711980929;-174;-1324;466
2021-12-07T21:29:09.051;540170964731492816;-130;-1210;634
2021-12-07T21:29:09.070;540170964751004703;17;-977;684
2021-12-07T21:29:09.090;540170964770516590;145;-737;541
2021-12-07T21:29:09.109;540170964790028477;264;-580;373
2021-12-07T21:29:09.129;540170964809540364;340;-475;385
2021-12-07T21:29:09.148;540170964829052251;314;-473;447
2021-12-07T21:29:09.168;540170964848564138;142;-557;533
2021-12-07T21:29:09.187;540170964868076025;-62;-677;700
2021-12-07T21:29:09.207;540170964887587912;22;-940;905
2021-12-07T21:29:09.226;540170964907099799;-425;-1082;799
2021-12-07T21:29:09.246;540170964926611686;-481;-1231;756
2021-12-07T21:29:09.265;540170964946123573;-408;-1217;536
2021-12-07T21:29:09.285;540170964965635460;45;-1237;499
2021-12-07T21:29:09.304;540170964985147347;294;-1342;335
2021-12-07T21:29:09.324;540170965004659234;-11;-1614;265
2021-12-07T21:29:09.343;540170965024171121;-636;-1931;45
2021-12-07T21:29:09.363;540170965043683008;-302;-1656;241
2021-12-07T21:29:09.382;540170965063194895;548;-1197;773
2021-12-07T21:29:09.402;540170965082706782;554;-983;945
2021-12-07T21:29:09.421;540170965102218669;280;-976;606
2021-12-07T21:29:09.441;540170965121730556;365;-907;369
2021-12-07T21:29:09.460;540170965141243536;885;-669;73
2021-12-07T21:29:09.480;540170965160756516;1384;-543;-347
2021-12-07T21:29:09.499;540170965180269496;1421;-648;-597
2021-12-07T21:29:09.519;540170965199782476;1466;-872;-690
2021-12-07T21:29:09.538;540170965219295456;1797;-860;-823
2021-12-07T21:29:09.558;540170965238808436;1727;-1039;-1004
2021-12-07T21:29:09.577;540170965258321416;1377;-1171;-978
2021-12-07T21:29:09.597;540170965277834396;1150;-1123;-458
2021-12-07T21:29:09.616;540170965297347376;848;-1151;-277
2021-12-07T21:29:09.636;540170965316860356;744;-997;63
2021-12-07T21:29:09.655;540170965336373336;517;-854;311
2021-12-07T21:29:09.675;540170965355886316;350;-761;535
2021-12-07T21:29:09.694;540170965375399296;308;-731;792
2021-12-07T21:29:09.714;540170965394912276;220;-785;1031
2021-12-07T21:29:09.733;540170965414425256;18;-968;873
2021-12-07T21:29:09.753;540170965433938236;112;-882;854
2021-12-07T21:29:09.772;540170965453451216;402;-888;1257
2021-12-07T21:29:09.792;540170965472964196;591;-761;1474
2021-12-07T21:29:09.811;540170965492477176;572;-612;1187
2021-12-07T21:29:09.831;540170965511990156;456;-618;663
2021-12-07T21:29:09.851;540170965531503136;485;-471;665
2021-12-07T21:29:09.870;540170965551016116;590;-249;855
2021-12-07T21:29:09.890;540170965570529096;763;-145;1088
2021-12-07T21:29:09.909;540170965590042076;792;-390;1081
2021-12-07T21:29:09.929;540170965609555056;582;-1023;1343
2021-12-07T21:29:09.948;540170965629068036;-145;-1589;2042
2021-12-07T21:29:09.968;540170965648581016;-793;-1754;2221
2021-12-07T21:29:09.987;540170965668093996;-1025;-1548;1630
2021-12-07T21:29:10.007;540170965687606976;-854;-1485;515
2021-12-07T21:29:10.026;540170965707119956;-648;-1474;-707
2021-12-07T21:29:10.046;540170965726632936;94;-1446;251
2021-12-07T21:29:10.065;540170965746145916;387;-1751;-70
2021-12-07T21:29:10.085;540170965765658896;211;-1764;-494
2021-12-07T21:29:10.104;540170965785171876;332;-1592;-362
2021-12-07T21:29:10.124;540170965804684856;493;-1358;-228
2021-12-07T21:29:10.143;540170965824197836;674;-1150;-218
2021-12-07T21:29:10.163;540170965843719918;736;-930;-189
2021-12-07T21:29:10.182;540170965863242000;859;-760;-37
2021-12-07T21:29:10.202;540170965882764082;1006;-672;174
2021-12-07T21:29:10.221;540170965902286164;992;-647;201
2021-12-07T21:29:10.241;540170965921808246;796;-606;5
2021-12-07T21:29:10.260;540170965941330328;596;-552;-307
2021-12-07T21:29:10.280;540170965960852410;513;-363;-463
2021-12-07T21:29:10.299;540170965980374492;568;-366;-447
2021-12-07T21:29:10.319;540170965999896574;640;-561;-68
2021-12-07T21:29:10.338;540170966019418656;457;-706;152
2021-12-07T21:29:10.358;540170966038940738;333;-789;224
2021-12-07T21:29:10.377;540170966058462820;541;-754;412
2021-12-07T21:29:10.397;540170966077984902;745;-788;574
2021-12-07T21:29:10.417;540170966097506984;808;-885;671
2021-12-07T21:29:10.436;540170966117029066;1011;-936;664
2021-12-07T21:29:10.456;540170966136551148;1196;-847;391
2021-12-07T21:29:10.475;540170966156073230;1123;-633;218
2021-12-07T21:29:10.495;540170966175595312;860;-432;129
2021-12-07T21:29:10.514;540170966195117394;548;-272;-60
2021-12-07T21:29:10.534;540170966214639476;440;-320;-101
2021-12-07T21:29:10.553;540170966234161558;461;-249;-106
2021-12-07T21:29:10.573;540170966253683640;399;-217;-247
2021-12-07T21:29:10.592;540170966273205722;384;-266;-362
2021-12-07T21:29:10.612;540170966292727804;408;-443;-310
2021-12-07T21:29:10.631;540170966312249886;500;-716;-96
2021-12-07T21:29:10.651;540170966331771968;504;-849;25
2021-12-07T21:29:10.670;540170966351294050;478;-1191;174
2021-12-07T21:29:10.690;540170966370816132;471;-1531;515
2021-12-07T21:29:10.709;540170966390338214;373;-1446;664
2021-12-07T21:29:10.729;540170966409860296;183;-1331;406
2021-12-07T21:29:10.748;540170966429382378;147;-1322;235
2021-12-07T21:29:10.768;540170966448904460;1985;-2223;242
2021-12-07T21:29:10.787;540170966468426542;821;-209;745
2021-12-07T21:29:10.807;540170966487948624;167;-1272;188
2021-12-07T21:29:10.826;540170966507470706;310;-990;-313
2021-12-07T21:29:10.846;540170966526992788;426;-885;-375
2021-12-07T21:29:10.866;540170966546508891;836;-931;-314
2021-12-07T21:29:10.885;540170966566024965;1126;-406;-38
2021-12-07T21:29:10.905;540170966585541039;938;-577;237
2021-12-07T21:29:10.924;540170966605057113;907;-629;258
2021-12-07T21:29:10.944;540170966624573187;892;-606;302
2021-12-07T21:29:10.963;540170966644089261;821;-680;296
2021-12-07T21:29:10.983;540170966663605335;578;-851;42
2021-12-07T21:29:11.002;540170966683121409;225;-1037;-267
2021-12-07T21:29:11.022;540170966702637483;153;-1251;-299
2021-12-07T21:29:11.041;540170966722153557;452;-1228;49
2021-12-07T21:29:11.061;540170966741669631;553;-1211;255
2021-12-07T21:29:11.080;540170966761185705;553;-1252;273
2021-12-07T21:29:11.100;540170966780701779;531;-1082;136
2021-12-07T21:29:11.119;540170966800217853;620;-942;26
2021-12-07T21:29:11.139;540170966819733927;556;-862;-138
2021-12-07T21:29:11.158;540170966839250001;477;-825;-196
2021-12-07T21:29:11.178;540170966858766075;657;-725;-89
2021-12-07T21:29:11.197;540170966878282149;917;-583;142
2021-12-07T21:29:11.217;540170966897798223;1159;-420;282
2021-12-07T21:29:11.236;540170966917314297;1120;-454;324
2021-12-07T21:29:11.256;540170966936830371;913;-458;262
2021-12-07T21:29:11.275;540170966956346445;959;-589;119
2021-12-07T21:29:11.295;540170966975862519;902;-630;97
2021-12-07T21:29:11.314;540170966995378593;625;-890;50
2021-12-07T21:29:11.334;540170967014894667;223;-1298;-153
2021-12-07T21:29:11.353;540170967034410741;89;-1405;-217
2021-12-07T21:29:11.373;540170967053926815;381;-1379;-121
2021-12-07T21:29:11.392;540170967073442889;401;-1486;-91
2021-12-07T21:29:11.412;540170967092958963;150;-1542;-344
2021-12-07T21:29:11.431;540170967112475037;125;-1284;199
2021-12-07T21:29:11.451;540170967131991111;102;-1418;-394
2021-12-07T21:29:11.471;540170967151507185;678;-1144;158
2021-12-07T21:29:11.490;540170967171023259;851;-885;2
2021-12-07T21:29:11.510;540170967190539333;394;-1121;-305
2021-12-07T21:29:11.529;540170967210055407;302;-922;-49
2021-12-07T21:29:11.549;540170967229571481;842;-605;-57
2021-12-07T21:29:11.568;540170967249083390;843;-654;88
2021-12-07T21:29:11.588;540170967268595277;651;-759;355
2021-12-07T21:29:11.607;540170967288107164;606;-1013;-216
2021-12-07T21:29:11.627;540170967307619051;204;-1438;-541
2021-12-07T21:29:11.646;540170967327130938;91;-1240;-434
2021-12-07T21:29:11.666;540170967346642825;765;-1172;37
